sent_id,generator,evaluator,german_sentence,Translation,number_of_critical_errors,number_of_major_errors,number_of_minor_errors,final_score
33,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Herr Weidinger ist ein älterer Mann, er sagt: ""Das war eine schwierige Situation, also die einzige wahre Lösung gab es da vermutlich nicht."" ","Mr. Weidinger is an older man, he says: ""That was a difficult situation, so there probably wasn't a single true solution there.Â .",1,2,1,-12
34,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Wenn Deutschland jetzt seine Pandemie-Geschichte wirklich aufarbeitet, wird es eines der ersten Länder sein, die das tun.","If Germany were to truly address its pandemic history now, it would be one of the first countries to do so.",1,1,1,-9
35,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Fest steht wohl schon jetzt: Die Verwerfungen durch Corona waren woanders weitaus stärker.,It is already certain now: The disruptions due to Corona were far stronger elsewhere.,1,1,2,-10
36,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Raspelkurze Haare, schwarze Brille, Backenbart - und seine größte Leidenschaft gilt dem Computer.","Shortly cropped hair, black glasses, beard - and his greatest passion is the computer.",1,2,3,-14
37,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Jetzt wird der Berliner, der so gar nicht wie ein Superman aussieht, wie ein Superheld gefeiert.","Now, the Berliner, who doesn't look like a Superman at all, is being celebrated like a superhero.",1,1,2,-10
38,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Denn: Er hat nichts weniger getan als das Internet gerettet und einen weltweiten Cyberangriff verhindert.,For he has done nothing less than saving the internet and preventing a global cyber attack.,1,1,1,-9
39,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Zum Glück sitzt er gern vorm Computer.," Fortunately, he likes to sit in front of the computer.",1,1,1,-9
40,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Das hat er auch vor ein paar Tagen im Flieger gemacht, als er nach einem Heimatbesuch wieder auf dem Rückweg nach San Francisco war."," He also did that a few days ago on the plane, when he was on his way back to San Francisco after visiting home.",0,1,2,-5
41,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Dort heuerte er vor fünf Jahren der Entwickler bei Microsoft an.,He hired him as a developer at Microsoft five years ago.,1,1,2,-10
42,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Bei einigen Software-Tests auf seinem Computer fällt ihm auf, dass sich Verzögerungen von einer halben Sekunde einschlichen, wenn er Befehle im Linux-Betriebssystem eingab.","During some software tests on his computer, he noticed that there were delays of half a second when he entered commands in the Linux operating system.",1,2,1,-12
43,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Er macht sich auf Spurensuche - und eine erstaunliche Entdeckung.,He sets out on a search for clues - and makes an astonishing discovery.,1,1,2,-10
44,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Freund bemerkte, dass die Anmeldung plötzlich mehr Rechenleistung benötigte, ein Leistungsabfall von lediglich 500 Millisekunden.","The friend noticed that the registration suddenly required more computing power, a performance drop of only 500 milliseconds.",0,1,3,-6
45,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Erstaunlich, wem er da auf die Spur kommt: Unbekannte haben im Linux-Betriebssystem eine sogenannte Hintertür eingebaut, die aktuellsten Versionen von ""xz-utils"" (ein Linux-Software-Werkzeug) manipuliert.","Surprisingly, the person he is tracking down: unknown individuals have built a so-called backdoor into the Linux operating system, which manipulates the latest versions of 'xz-utils' (a Linux software tool).",1,2,4,-15
46,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Die ausgetüftelte Schadsoftware war vermutlich das Ergebnis einer jahrelangen Geheimaktion.,The sophisticated malware was probably the result of a years-long covert operation.,1,1,2,-10
47,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Offenbar sollte schon bald ein weltweiter Cyberangriff gestartet werden.," Apparently, a worldwide cyberattack is about to be launched soon.",1,1,2,-10
48,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Der Schaden wäre riesig gewesen, die Hacker hätten Zugriff auf Millionen Computer gehabt.",The damage would have been huge if the hackers had access to millions of computers.,0,1,1,-4
49,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Auch etliche Rechenzentren laufen auf der Basis von Linux.,Several data centers also run on the basis of Linux.,0,1,2,-5
50,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Am Karfreitag teilte Freund IT-Spezialisten seine Entdeckung mit - und schreckte weltweit Experten auf.,"On Good Friday, the IT specialist friend shared his discovery - and shocked experts worldwide.",1,1,2,-10
51,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Wer hinter der Aktion steckt, ist noch unklar.",Who is behind the action is still unclear.,,,,
52,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Wahrscheinlich sind es Geheimdienst-Agenten eines Nachrichten-Dienstes, die in monatelanger Vorarbeit eine weltweite Aktion planten - die jetzt ein deutscher Computer-Nerd auffliegen ließ.",Probably they are intelligence agents of a news service who planned a worldwide operation in several months' preparation - which has now been exposed by a German computer nerd.,1,2,3,-14
53,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Microsoft-CEO Satya Nadella lobte Freunds ""Neugier und sein handwerkliches Können.""",Microsoft-CEO Satya Nadella praised his friend's curiosity and craftsmanship.,0,1,1,-4
54,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Der 38-Jährige selbst bleibt bescheiden, sagt: ""Ich bin ein eher privater Mensch.""","The 38-year-old remains modest, saying: ""I am rather a private person."".",0,1,2,-5
55,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Die Wahrheit enthüllt: Was die Medien Ihnen über Solar verschweigen.,The truth revealed: What the media is hiding from you about solar energy.,1,2,3,-14
56,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Die Medien präsentieren Solarenergie oft als teure oder ineffiziente Option, doch die Wahrheit sieht ganz anders aus.","The media often present solar energy as an expensive or inefficient option, but the truth is quite different.",1,1,1,-9
57,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Hinter den Kulissen hat sich ein Wandel vollzogen, der das Potential hat, Ihre Finanzen radikal zu verändern.",A change has taken place behind the scenes that has the potential to radically change your finances.,1,1,2,-10
58,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Wir decken auf, was wirklich hinter den Schlagzeilen steckt und warum eine Solaranlage eine Investition in Ihre finanzielle Zukunft ist.",We uncover what really lies behind the headlines and why a solar installation is an investment in your financial future.,1,1,2,-10
59,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Warum kaum jemand vom Preissturz bei Solaranlagen weiß.,Why hardly anyone knows about the price drop in solar panels.,1,1,1,-9
60,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Die Kosten für Solarpanels sind in den letzten Jahren drastisch gefallen - ein Detail, das oft unter den Tisch fällt.",The costs for solar panels have drastically fallen in recent years Â a detail that often falls under the table.,0,1,1,-4
61,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Dank fortschrittlicher Technologien und Massenproduktion sind die Preise so niedrig wie nie.,"Thanks to advances in technology and mass production, prices are lower than ever.",0,1,1,-4
62,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Die Lager sind extrem gut gefüllt!,The warehouses are extremely well stocked!,0,1,3,-6
63,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Oft wird dieser entscheidende Fakt jedoch verschwiegen, um traditionelle Energieanbieter zu schützen."," Often, however, this crucial factor is kept secret in order to protect traditional energy suppliers.",1,1,2,-10
64,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Über die Lebensdauer einer Solaranlage können Sie Zehntausende Euro an Stromkosten einsparen.,You can save tens of thousands of euros in electricity costs over the lifespan of a solar power system.,0,1,1,-4
65,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Die anfängliche Investition rechnet sich schneller, als Sie denken.",The initial investment pays off more quickly than you think.,1,1,1,-9
66,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Es gibt finanzielle Unterstützungen, die Ihre Investition noch attraktiver machen - ein weiteres Detail, das oft nicht breit kommuniziert wird.",There are financial supports that make your investment even more attractive - another detail that is often not widely communicated.,1,1,2,-10
67,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Binden Sie sich nicht länger an die Unberechenbarkeit des Energiemarktes.,Do not bind yourself any longer to the unpredictability of the energy market.,1,1,1,-9
68,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Mit einer Solaranlage sichern Sie sich gegen zukünftige Preissteigerungen ab.," By installing a solar energy system, you secure yourself against future price increases.",0,1,1,-4
69,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Lithium ist ein wesentlicher Bestandteil von Batteriespeichersystemen, die fast immer zusammen mit Photovoltaikanlagen installiert werden."," Lithium is an essential component of battery storage systems, which are almost always installed together with photovoltaic systems.",0,1,1,-4
70,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Der Preis für Lithium ist aufgrund von Produktionssteigerungen und der Erschließung neuer Lithiumminen weltweit stabilisiert und sogar stark reduziert.,The price of lithium has stabilized and even significantly reduced worldwide due to increased production and the development of new lithium mines.,0,1,2,-5
71,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Das sorgt auch für deutlich günstigere Produktionspreise in der Solartechnik.,This also leads to significantly cheaper production prices in solar technology.,1,1,1,-9
72,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Sie drücken bei Konsumenten weiterhin die alten Preise durch und erhöhen den eigenen Gewinn drastisch.,They continue to push old prices onto consumers and drastically increase their own profit.,1,1,2,-10
73,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Um Verbraucher vor diesem kritischen Fehler zu bewahren, haben junge deutsche Unternehmer jetzt ein Vergleichs-Portal erschaffen.","To protect consumers from this critical error, young German entrepreneurs have now created a comparison portal.",1,1,2,-10
74,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Das Portal erfreut sich derzeit immer größerer Beliebtheit, denn es vereinfacht das Einholen von Erstinformationen ungemein.","The portal is currently enjoying increasing popularity, as it greatly simplifies the process of gathering initial information.",0,1,1,-4
75,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Das Besondere: Die Anbieter sind sich um den direkten Konkurrenzkampf bewusst und daher bemüht, Ihnen ein faires Angebot zu machen.",The special thing: The providers are aware of direct competition and therefore strive to make you a fair offer.,1,1,2,-10
76,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Erstmals hat die europäische Polizeibehörde Europol auf der Grundlage von Daten aus allen EU-Mitgliedsstaaten die Organisierte Kriminalität unter die Lupe genommen.,"For the first time, the European police authority Europol, based on data from all EU member states, has examined organized crime.",0,1,4,-7
77,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Die europäische Polizeibehörde Europol hat erstmals die ""bedrohlichsten"" Banden des Kontinents analysiert."," Europol, the European police authority, has for the first time analyzed the ""most threatening"" gangs of the continent.",1,1,1,-9
78,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Das schwere und organisierte Verbrechen ist allgegenwärtig und stellt weiterhin eine große Bedrohung der inneren Sicherheit der Europäischen Union dar"", heißt es in der 51 Seiten starken Studie.","""Organized crime and serious crime are pervasive and continue to pose a significant threat to the internal security of the European Union"", according to the 51-page study.",1,1,2,-10
79,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Die größte Bedrohung liegt Europol zufolge in der Infiltrierung der legalen Geschäftswelt - Ziele sind dabei die Erleichterung und Verdeckung der Verbrechen sowie das Waschen der Profite.,"According to Europol, the greatest threat lies in the infiltration of the legal business world - targets are facilitating and concealing crime and money laundering.",1,1,3,-11
80,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Für ihre kriminellen Aktivitäten nutzen dem Bericht zufolge rund 86 Prozent der Banden ""legale Handelsstrukturen"".","86 percent of the gangs use, according to the report, legal trade structures for their criminal activities.",1,1,2,-10
81,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Kriminelle Banden bevorzugten Immobilien als Mittel zur Wäsche von Erträgen aus Straftaten, so Europol, und setzten dabei Anwälte oder Finanzexperten ein, ""die sich manchmal des kriminellen Ursprungs der Vermögenswerte nicht bewusst sind"".","Criminal gangs prefer real estate as a means to launder proceeds from criminal activities, according to Europol, and they use lawyers or financial experts who sometimes are not aware of the criminal origin of the assets.",1,1,2,-10
82,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Öl, Kupfer und Gold immer teurer: Was ist da los?","Oil, copper and gold always more expensive: what's going on here?",0,1,4,-7
83,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Tankstellen in Deutschland sind wichtige Preis-Indikatoren: Wer regelmäßig an die Zapfsäule muss, bekommt ein Gespür für den Ölpreis.","Gas stations in Germany are important price indicators: Those who have to go to the gas pump regularly, develop a feeling for the oil price.",0,0,0,0
84,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Insbesondere die Ereignisse im Nahen und Mittleren Osten haben dazu beigetragen, dass die Ölpreise gestiegen sind.","In particular, events in the Middle East and Near East have contributed to rising oil prices.",0,1,2,-5
85,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Generell haben Rohstoffpreise, darunter auch Kupfer und Gold, in jüngster Zeit auf breiter Front zugelegt.","Generally, prices of commodities, including copper and gold, have increased broadly recently.",,,,
86,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,So stieg der Preis für die Feinunze Gold zuletzt beispielsweise auf über 2300 US-Dollar - ein absoluter Höchststand.,"Therefore, the price for a fine ounce of gold has recently increased to over 2300 US dollars - an absolute record high.",1,1,2,-10
87,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Laut Carsten Fritsch von der Commerzbank kann man aktuell gar von einer ""Rohstoff-Rallye"" sprechen.","According to Carsten Fritsch of Commerzbank, one can currently even speak of a ""commodity rally"".",0,1,2,-5
88,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Die Gründe für den Preisanstieg - von Öl bis zum Gold - würden sich allesamt ähneln: ""Zumeist sind es Anzeichen für eine anziehende Nachfrage - gepaart mit Nachrichten eines eingeschränkten Angebots.""","The reasons for the price increase - from oil to gold - would all be similar: ""Mostly they are signs of an increasing demand - coupled with news of a restricted supply."".",1,2,2,-13
89,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Der Preis für das wichtige Industriemetall Kupfer wird im Moment auch durch Spekulationen rund um eine Zinssenkung der US-Notenbank getrieben.,The price of the important industrial metal copper is currently also being driven by speculation surrounding a potential interest rate cut by the US Federal Reserve.,1,1,2,-10
90,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Das schwächt wiederum den US-Dollar - und das macht in Dollar gehandelte Rohstoffe wie eben Kupfer für Anleger in anderen Währungsräumen billiger, das erhöht die Nachfrage und somit den Preis.","This, in turn, weakens the US dollar - and makes dollar-denominated commodities, such as copper, cheaper for investors in other currency areas, increasing demand and thus the price.",1,1,2,-10
91,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Beim Gold - in der Regel der sichere Hafen für Anleger in Krisensituationen - hingegen rätseln Anleger wie Marktbeobachter allerdings über die Gründe des Preisanstiegs.,"With gold - usually the safe haven for investors in crisis situations -, however, investors as well as market observers are puzzling over the reasons for the price increase.",1,1,2,-10
92,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Mancher vermutet auch hier einen Zusammenhang mit der erhofften Zinssenkung.,Some also suspect a connection with the hoped-for interest rate reduction here.,1,1,2,-10
93,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Allerdings verweist das World Gold Council auch auf das derzeit große Interesse von verschiedenen Notenbanken.," However, the World Gold Council also points out the currently strong interest of various central banks.",0,1,4,-7
94,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Diese hätten zuletzt ihre Käufe von Gold ""auf höchstem Niveau fortgesetzt"".",These have most recently continued their gold purchases at the highest level.,0,1,1,-4
95,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Im Falle des Erdöls kommt ein besonderer angebotseinschränkender Faktor hinzu: Die OPEC.,"In the case of oil, a special supply-restricting factor comes into play: OPEC.",1,1,2,-10
96,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Die Organisation erdölexportierender Länder hat bereits vor einigen Monaten die Produktion eingeschränkt.,The organization of oil exporting countries has already limited production a few months ago.,1,1,2,-10
97,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Mitte dieser Woche verkündete sie, keine Änderungen an dieser Förderpolitik vorzunehmen.",In the middle of this week she announced that she would make no changes to this funding policy.,1,1,1,-9
98,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Auch das dürfte dazu beitragen, die globalen Märkte in den nächsten Monaten angespannt zu halten - und den Preis für Rohöl womöglich weiter in die Höhe zu treiben.",Even this is likely to contribute to keeping global markets tense in the next few months - and possibly drive up the price of crude oil even further.,1,2,3,-14
99,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Für Autofahrerinnen und Autofahrer sind diese Nachrichten rund um das 159-Liter Fass keine guten - zumindest nicht für diejenigen, die einen Verbrenner-PKW nutzen."," For drivers, these news about the 159-liter barrel are not good - at least not for those who use a gasoline-powered car.",1,1,2,-10
100,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Die Ölpreisentwicklung hat nämlich direkt spürbare Auswirkungen an der Tankstelle.,"The oil price development has, namely, directly perceptible effects at the gas station.",0,1,1,-4
101,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Da die Preise für Benzin und Diesel eng mit den Rohölpreisen korrelieren, führen steigende Ölpreise zu höheren Kraftstoffpreisen.","Since gasoline and diesel prices correlate closely with crude oil prices, rising oil prices lead to higher fuel prices.",0,1,1,-4
102,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Verbraucher müssen somit tiefer in die Tasche greifen, wenn sie ihr Verbrenner-Auto auftanken wollen.",Consumers will have to dig deeper into their pockets if they want to fill up their combustion engine cars.,1,1,2,-10
103,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Darauf verweist auch eine aktuelle Auswertung des Automobilclubs ADAC zur Entwicklung der Kraftstoffpreise im März.,This also points to a current evaluation of the Automobile Club ADAC on the development of fuel prices in March.,1,1,2,-10
104,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Demnach ist der Liter Super E10 drei Wochen in Folge im Preis gestiegen und lag im Monatsmittel bei 1,787 Euro.","Therefore, the liter of Super E10 has increased in price for three consecutive weeks and averaged 1.787 Euros in the monthly mean.",1,1,1,-9
105,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Der Dieselpreis veränderte sich dagegen kaum.,The price of diesel hardly changed.,0,0,0,0
106,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Dass Diesel von den Preissteigerungen weniger stark betroffen ist, dürfte dem ADAC zufolge am bevorstehenden Ende der Heizperiode liegen - dann sinkt nämlich die Nachfrage nach dem Diesel sehr ähnlichen Heizöl.","The fact that diesel is less affected by price increases is, according to the ADAC, due to the impending end of the heating season - then the demand for heating oil, which is very similar to diesel, decreases.",1,1,2,-10
107,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Stephan Jäger ist der erste männliche deutsche Golfer seit neun Jahren, der einen Sieg auf der PGA-Tour erringen kann.",Stephan JÃ¤ger is the first male German golfer in nine years who can win a PGA Tour event.,1,1,1,-9
108,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Trotz wenig Erfolg auf höchster Ebene erfreut sich der Golfsport in Deutschland enormer Popularität.,"Despite little success at the highest level, golf in Germany enjoys enormous popularity.",,,,
109,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Ungläubig und mit Tränen in den Augen beobachtete Stephan Jäger den wohl größten Moment seiner Golfkarriere.," Skeptically and with tears in his eyes, Stephan JÃ¤ger observed what was probably the greatest moment of his golf career.",0,1,2,-5
110,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"134 Turniere hatte Jäger bereits auf der PGA-Tour, der höchsten Golf-Liga der Welt, gespielt.","134 tournaments had already played Hunter on the PGA Tour, the highest golf league in the world.",1,1,1,-9
111,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Sich in so einem Feld durchzusetzen, ist eine enorme Leistung.",To establish oneself in such a field is an enormous achievement.,1,1,2,-10
112,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"So ein Sieg löst immer einen kleinen Boom im deutschen Golf aus"", sagt Baraka.","Such a victory always triggers a small boom in German golf, says Baraka.",,,,
113,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Trotz des Golf-Hypes in Deutschland blieben die großen Erfolge auf der PGA-Tour zuletzt aber aus.," Despite the golf hype in Germany, the big successes on the PGA Tour have been missing lately.",,,,
114,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Im Jahr 2000 schrieb Tina Fischer Geschichte als erste deutsche Spielerin, die ein LPGA-Event für sich entscheiden konnte.","In the year 2000, Tina Fischer made history as the first German golfer to win an LPGA event.",,,,
115,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Dennoch sieht Kariem Baraka keinen Anlass zur Sorge: ""Grundsätzlich ist die Entwicklung unserer Spitzenspieler - sowohl bei den Damen als auch bei den Herren - während der letzten Jahre sehr positiv zu bewerten"", sagt er und verweist auf viele Erfolge auf der DP World Tour, die Top-Liga in Europa für den Profi-Golfsport.","Nevertheless, Kariem Baraka sees no reason for concern: ""Fundamentally, the development of our top players - both women and men - has been very positive over the past few years,"" he says, referring to many successes on the DP World Tour, the top league in Europe for professional golf.",1,2,3,-14
116,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Diesen Prozess müssen wir fortführen, damit Siege wie der von Stephan Jäger kein Einzelfall bleiben.",We must continue this process so that victories like Stephan JÃ¤ger's are not an exception.,1,1,1,-9
117,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Der in München geborene Jäger lebt übrigens bereits seit 16 Jahren in den USA.," The hunter, who was born in Munich, actually lives already since 16 years in the USA.",1,1,2,-10
118,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Schon als Teenager wechselte er zum Golfspielen zunächst an eine US-Highschool und spielte anschließend einige Jahre lang sehr erfolgreich für die Mannschaft der University of Tennessee in Chattanooga.,"Even as a teenager, he switched to playing golf first at a US high school and then played very successfully for the University of Tennessee in Chattanooga for several years.",,,,
119,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Auch auf anderen Ebenen sieht der 45-Jährige, der einst selbst als Playing Professional auf der Tour gespielt hat, die USA im Vorteil.","On other levels, too, the 45-year-old, who used to play as a professional on tour himself, sees the USA at an advantage.",1,1,2,-10
120,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Um weitere junge Menschen früh an den Golfsport heranzuführen, muss er außerdem mehr für die breite Masse zugänglich gemacht werden.","In order to introduce more young people to golf early on, it must also be made more accessible to the general public.",1,1,1,-9
121,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Wenn wir es schaffen, dass der Golfsport auch in Deutschland für jede Gesellschaftsschicht und jedes Einkommen zugänglich ist und für alle eine Freizeitoption ist, wird es in Deutschland mehr Golferinnen und Golfer geben und somit auch mehr Spitzenspielerinnen und Spitzenspieler"", so Baraka.","If we manage to make golf accessible in Germany to every social class and income level, making it a leisure option for all, there will be more golfers in Germany, and thus also more top female and male players.",1,1,2,-10
122,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Im deutschen Nachwuchs stehen bereits einige Talente in den Startlöchern.,Some talents in the German youth are already standing in the starting blocks.,1,1,2,-10
123,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Bei den Frauen gilt Helen Briem als größtes deutsches Golftalent.,Helen Briem is considered the greatest German golf talent among women.,0,1,1,-4
124,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Die 18-jährige aus Nürtingen bei Stuttgart hat letztes Jahr bereits als erste Deutsche in der 104-jährigen Geschichte das bedeutendste Juniorinnen-Turnier der Welt für sich entscheiden können.,The 18-year-old from NÃ¼rtingen near Stuttgart was able to win the most important junior tournament in the world last year as the first German in the 104-year history of the tournament.,0,0,2,-2
125,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Bei den Männern gilt Tiger Christensen als größte deutsche Nachwuchshoffnung, der seinen Vornamen mit einem der besten Golfer aller Zeiten teilt.","Tiger Christensen is regarded as the greatest German youth prospect among men, who shares his first name with one of the best golfers of all time.",1,1,1,-9
126,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Golf-Fans in Deutschland dürfen also durchaus zuversichtlich sein, dass sie nicht erneut neun Jahre auf einen weiteren PGA-Tour-Sieg warten müssen.",German golf fans in Germany can certainly be optimistic that they will not have to wait another nine years for another PGA Tour victory.,1,1,2,-10
127,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,Ein höhenverstellbarer Schreibtisch oder ergonomische Stühle fördern einen gesunden Arbeitsalltag.,An adjustable height desk or ergonomic chairs promote a healthy workday.,1,1,2,-10
128,mistralai/Mixtral-8x7B-Instruct-v0.1,google/gemma-1.1-7b-it,"Ein Team aus Physiotherapeuten, Trainern, Ärzten will nicht nur mit ergonomischen Büromöbeln, sondern auch mit ganzheitlichen Lösungen, Gesundheit, Wohlbefinden und die Produktivität im Arbeitsalltag verbessern.","A team of physiotherapists, trainers, and doctors aims to improve not only health, well-being, and productivity in everyday work life with ergonomic office furniture, but also with holistic solutions.",,,,
